UsingIp,longUrl,shortUrl,symbol,redirecting,prefixSuffix,SubDomains,Https,hasSsl,DomainRegLen,Favicon,NonStdPort,label,Url
0,0,0,0,0,0,0,0,0,1,1,1,good,http://www.emuck.com:3000/archive/egan.html
0,0,0,0,0,0,0,0,0,1,1,0,good,http://danoday.com/summit.shtml
0,1,0,0,1,0,0,0,1,1,1,0,good,http://groups.yahoo.com/group/voice_actor_appreciation/links/events_and_appearanc_000985383761/
0,0,0,0,1,1,0,0,1,1,1,0,good,http://voice-international.com/
0,0,0,0,0,0,0,0,0,1,1,0,good,http://www.livinglegendsltd.com/
0,0,0,0,1,0,0,0,1,1,1,0,good,http://voicechasers.com/forum/viewforum.php?f=8
0,0,0,0,0,0,0,0,0,1,1,0,good,http://hollywoodcollectorshow.com/
0,0,0,0,3,0,0,0,1,1,1,0,good,http://www.geocities.com/hollywood/hills/8944/
0,1,0,0,0,0,0,0,0,1,1,0,good,http://asifa.proboards61.com/index.cgi?action=calendarviewall
0,1,0,0,1,0,0,0,1,1,1,0,good,http://groups.yahoo.com/group/voice_actor_appreciation/cal///group/voice_actor_appreciation/?v=42&amp;pos=
0,0,0,0,1,0,0,0,0,1,1,0,good,http://www.pamelynferdin.com/
0,0,0,0,0,0,0,0,0,1,1,0,good,http://www.pamferdin.com/
0,0,0,0,0,0,0,0,0,1,1,0,good,http://www.monkeydog.com/
0,1,0,0,1,0,0,0,1,1,1,0,good,http://www.awn.com/mag/issue1.7/articles/kowlaskidi1.7.html
0,1,0,0,1,0,0,0,1,1,1,0,good,http://www.awn.com/mag/issue2.7/2.7pages/2.7jacksonjones.html
0,1,0,0,1,0,0,0,1,1,1,0,good,http://www.awn.com/mag/issue1.9/articles/kowlagrinch1.9.html
0,1,0,0,1,0,0,0,1,1,1,0,good,http://www.voicechasers.com/database/showactor.php?actorid=1251
0,0,1,0,3,0,0,0,1,1,1,0,good,http://www.vortex.com/av.html#jayward1
0,1,0,0,3,0,1,0,1,-1,1,0,good,http://www.cerias.purdue.edu/homes/spaf/yucks/v2/msg00061.html
0,1,0,0,1,0,0,0,1,1,1,0,good,http://www.awn.com/mag/issue5.03/5.03pages/evanierforay.php3
0,1,0,0,1,0,0,0,1,1,1,0,good,http://www.awn.com/mag/issue4.02/4.02pages/foraylittlejohn.php3
0,1,0,0,3,0,0,0,1,1,1,0,good,http://www.geocities.com/enchantedforest/dell/8545/fraley.html
0,1,0,0,1,0,0,0,1,1,1,0,good,http://www.voicechasers.com/database/showactor.php?actorid=1133
0,0,0,0,2,0,0,0,1,1,1,0,good,http://patfraley.com/
0,0,0,0,1,1,0,0,1,1,1,0,good,http://nerf-herders-anonymous.net/patfraley.html
0,0,0,0,2,0,0,0,1,1,0,0,good,http://www.vasta.org/professional_index/fraleyp.html
0,0,0,0,3,0,0,0,1,1,1,0,good,http://members.tripod.com/~leemichaelwithers/sfh.htm
0,0,0,0,1,0,0,0,0,1,1,0,good,http://www.radiospirits.com/onradio/meethost_sf.asp
0,0,1,0,0,0,0,0,0,1,1,0,good,http://freberg.westnet.com/
0,1,0,0,3,0,0,0,1,1,1,0,good,http://www.aarp.org/mmaturity/mar_apr00_preview/creators.html#freberg
0,0,0,0,0,0,0,0,1,1,1,0,good,http://www.cosmik.com/aa-october99/stan_freberg.html
0,0,0,0,0,0,0,0,0,1,1,0,good,http://www.tsimon.com/freberg.htm
0,0,0,0,1,0,0,0,1,1,1,0,good,http://www.firezine.net/issue6/fz6_07.htm
0,0,0,0,0,0,0,0,0,1,1,0,good,http://www.thehutch.com/rabhutch/freberg.htm
0,0,0,0,1,0,0,0,0,1,1,0,good,http://www.povonline.com/cols/col051.htm
0,0,0,0,1,0,0,0,0,1,1,0,good,http://www.povonline.com/2001/news060901.htm
0,1,0,0,6,0,0,0,1,1,0,0,good,http://www.austinchronicle.com/issues/dispatch/1999-12-10/music_feature3.html
0,0,0,0,1,0,0,0,1,1,1,0,good,http://www.dawsbutler.com/freberg.htm
0,0,1,0,0,0,0,0,0,1,1,0,good,http://freberg.westnet.com/list.html
0,0,0,0,1,0,0,0,1,1,1,0,good,http://www.rhino.com/features/75645p.html
0,0,0,0,0,0,0,0,0,1,1,0,good,http://hitcomedy.com/index.html?/act/freberg/
0,0,0,0,1,0,0,0,1,1,1,0,good,http://www.cyberonic.net/~atrain/comedy/freberg.htm
0,0,0,0,1,0,0,0,0,1,1,0,good,http://www.povonline.com/cols/col102.htm
0,0,1,0,0,0,0,0,0,1,1,0,good,http://freberg.westnet.com/hear_it.html
0,1,0,0,2,0,0,0,1,1,1,0,good,http://www.epinions.com/musc-album-musc-freberg__stan/tk_~mm032.1.2
0,0,0,0,1,0,0,0,1,1,1,0,good,http://citypaper.net/articles/091699/mus.stan.shtml
0,0,0,0,0,0,0,0,0,1,1,0,good,http://www.crispinfreeman.com/
0,0,0,0,1,0,0,0,1,1,1,0,good,http://www.reelradio.com/gifts/frees.html
0,0,0,0,1,0,0,0,1,1,1,0,good,http://www.spookytoms.com/paul_frees_tribute.html
0,0,0,0,2,0,0,0,1,1,1,0,good,http://www.hollowhill.com/gm/library/frees.htm
0,0,0,0,1,0,0,0,1,1,1,0,good,http://www.dvdtalk.com/dvdsavant/s74frees.html
0,1,0,0,1,0,0,0,1,1,1,0,good,http://www.voicechasers.com/database/showactor.php?actorid=1248
0,0,0,0,0,0,0,0,0,1,1,0,good,http://bakerstreetdozen.com/frewernews.html
0,1,0,0,3,0,0,0,1,1,1,0,good,http://www.geocities.com/enchantedforest/dell/8545/va.html
0,0,0,0,1,0,0,0,1,1,1,0,good,http://www.angelfire.com/ut/rtoons/actors.html
0,1,0,0,3,0,0,0,1,1,1,0,good,http://www.geocities.com/hollywood/lot/2636/voiceacting/
0,0,0,0,3,0,0,0,1,1,1,0,good,http://www.geocities.com/philbass_2000/narrators.html
0,1,0,0,3,0,0,0,1,1,1,0,good,http://www.geocities.com/televisioncity/taping/6785/index.html
0,0,0,0,0,0,0,0,0,1,1,0,good,http://www.behindthevoiceactors.com
